v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30_1,v30_2,v30_3,v31_1,v31_2,v31_3,v32,v33,v34,v35_1,v35_2,v35_3,v35_4,v35_5,v35_6,v35_7,v35_8,v35_9,v35_10,v36_1,v36_2,v36_3,v36_4,v36_5,v36_6,v36_7,v36_8,v36_9,v36_10,v37,v38_1,v38_2,v38_3,v38_4,v38_5,v38_6,v38_7,v39,v40,v41,v42,v43,v44,v45,v46,v47,wei,wei2
4,412,70,5,1,1,2,2,1,1,2,2,2,1,2,2,1,2,2,1,1,2,2,2,1,2,2,2,2,1,2,3,99,99,99,2,6,7,6,99,99,99,99,99,99,99,99,99,1,2,4,99,99,99,99,99,99,99,3,1,2,99,99,99,99,99,4,7,14,4,30,4,2,3,1,1.2348,2.22436872
21,893,63,5,1,1,1,2,1,1,1,2,1,1,1,1,1,1,2,1,1,2,1,1,1,2,2,1,1,1,2,3,99,99,99,2,8,6,1,3,4,5,6,7,8,9,99,99,1,3,4,5,6,7,8,9,99,99,3,1,2,99,99,99,99,99,4,6,13,2,80,3,1,3,1,.7881,.12459861
6,828,66,5,1,1,1,2,1,1,2,2,1,1,1,2,1,1,2,1,1,2,2,2,1,1,2,1,2,1,2,3,99,99,99,1,8,9,6,9,99,99,99,99,99,99,99,99,1,3,4,6,7,9,99,99,99,99,2,1,2,99,99,99,99,99,4,7,6,5,70,3,2,3,2,1.3025,2.32196675
2,112,72,4,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,2,1,1,1,1,2,1,2,1,2,3,99,99,99,2,9,10,9,99,99,99,99,99,99,99,99,99,1,3,4,5,6,7,8,99,99,99,3,1,2,99,99,99,99,99,4,7,3,2,50,4,1,3,1,.7705,1.22779175
4,427,60,6,1,1,4,2,1,1,2,2,2,1,1,1,1,1,1,1,2,2,2,2,1,2,2,1,2,1,2,3,99,99,99,2,8,6,2,3,4,5,6,9,99,99,99,99,2,3,4,5,6,9,99,99,99,99,3,1,2,99,99,99,99,99,4,6,17,3,20,3,1,4,2,1.0927,1.96838978
15,884,75,4,1,1,2,2,1,1,1,1,1,1,1,1,1,2,1,1,1,2,2,2,1,1,2,1,2,1,2,3,99,99,99,3,6,6,2,3,4,6,99,99,99,99,99,99,2,3,4,6,9,99,99,99,99,99,3,1,2,99,99,99,99,99,2,7,9,8,20,3,1,3,2,1.1256,.13304592
12,653,88,3,1,1,1,2,1,2,2,2,2,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,2,1,2,3,99,99,99,2,7,6,2,99,99,99,99,99,99,99,99,99,2,3,4,99,99,99,99,99,99,99,3,1,2,99,99,99,99,99,4,7,17,3,80,3,98,3,2,1.4109,1.03404861
18,203,58,6,1,1,1,1,1,1,1,2,1,1,2,2,1,1,2,1,2,2,2,2,1,2,2,1,2,1,3,99,99,99,99,1,10,9,9,99,99,99,99,99,99,99,99,99,2,3,4,5,6,7,8,99,99,99,2,1,2,99,99,99,99,99,4,6,13,5,90,4,1,2,2,.8349,.33337557
1,234,79,4,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,2,1,1,1,2,3,99,99,99,2,7,8,97,99,99,99,99,99,99,99,99,99,6,3,4,5,99,99,99,99,99,99,3,1,2,99,99,99,99,99,4,7,6,3,100,2,1,3,1,.6582,1.71105672
15,880,77,4,1,1,1,1,2,2,2,1,2,1,2,2,1,1,2,1,1,1,2,2,1,2,2,1,2,1,3,99,99,99,99,1,5,8,9,8,99,99,99,99,99,99,99,99,3,9,4,6,99,99,99,99,99,99,3,1,2,99,99,99,99,99,2,8,9,6,80,98,1,1,1,1.2947,.15303354
